epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1471.1,1.01211,1.31906,0.91255,0.9646,0.88169,0.81181,0.89718,0.71898,0.87538,0.71472,0.79947,0.56207,0.67911,0.49891,3.5271,0.48768,0.000354691,0.000354691,0.000354691
31,1520.48,1.07802,1.39823,0.97878,0.97751,0.90368,0.78661,0.89227,0.72486,0.88888,0.7479,0.83757,0.60273,0.66735,0.48288,3.30346,0.48363,0.000338198,0.000338198,0.000338198
32,1569.92,1.00533,1.29504,0.89957,0.9516,0.88947,0.78996,0.87824,0.6911,0.83268,0.72465,0.78888,0.54567,0.67263,0.49622,2.93704,0.48535,0.000321705,0.000321705,0.000321705
33,1619.09,1.00398,1.32516,0.9724,0.95611,0.88884,0.79251,0.86905,0.70763,0.8415,0.74882,0.80261,0.57278,0.66662,0.5185,2.71422,0.48013,0.000305211,0.000305211,0.000305211
34,1668.62,1.00456,1.28506,0.96081,0.95306,0.88555,0.80004,0.88322,0.71343,0.85662,0.73023,0.8193,0.59343,0.65911,0.48952,3.56741,0.47764,0.000288718,0.000288718,0.000288718
35,1717.85,1.02937,1.25957,0.95816,0.96135,0.87805,0.79439,0.88069,0.7077,0.83888,0.72464,0.79925,0.56397,0.66027,0.46326,2.76513,0.4872,0.000272224,0.000272224,0.000272224
36,1767.23,1.01326,1.26632,0.91694,0.95977,0.88283,0.83283,0.88905,0.73429,0.84049,0.76677,0.8294,0.59406,0.62506,0.4703,2.53503,0.47773,0.000255731,0.000255731,0.000255731
37,1816.95,0.99111,1.23568,0.89298,0.94757,0.91832,0.82128,0.8973,0.73547,0.84157,0.77621,0.82955,0.59927,0.63349,0.46898,2.5374,0.47516,0.000239238,0.000239238,0.000239238
38,1865.85,1.01184,1.25817,0.90773,0.95042,0.92758,0.81457,0.91173,0.74276,0.87768,0.76527,0.84726,0.59435,0.62876,0.46539,2.67539,0.46299,0.000222744,0.000222744,0.000222744
39,1915.82,0.95616,1.18992,0.87234,0.94057,0.89403,0.82268,0.89592,0.74038,0.82997,0.7723,0.82576,0.59414,0.60081,0.47443,2.70442,0.46574,0.000206251,0.000206251,0.000206251
40,1964.35,0.89613,1.14587,0.81928,0.94829,0.93603,0.81709,0.89976,0.74791,0.87858,0.77162,0.83965,0.58237,0.58986,0.45252,2.58913,0.4624,0.000189757,0.000189757,0.000189757
41,2032.72,0.94185,0.88787,1.23676,0.81738,0.91493,0.77715,0.8762,0.70331,0.85283,0.73113,0.80155,0.54497,0.62798,0.46366,2.36502,0.479,0.000173264,0.000173264,0.000173264
42,2080.54,0.88289,0.87494,1.05732,0.81859,0.90261,0.82994,0.90255,0.72466,0.85291,0.79073,0.83206,0.57998,0.62048,0.45245,2.11166,0.47385,0.000156771,0.000156771,0.000156771
43,2130.75,0.91057,0.85216,0.99427,0.81386,0.89513,0.82034,0.90075,0.7419,0.86144,0.78415,0.84928,0.60681,0.59712,0.44116,2.07441,0.46641,0.000140277,0.000140277,0.000140277
44,2179.85,0.93214,0.85978,0.96402,0.83921,0.90347,0.80717,0.89399,0.72577,0.86535,0.77865,0.84972,0.61906,0.60777,0.42748,2.08289,0.46825,0.000123784,0.000123784,0.000123784
45,2228.26,0.78897,0.78405,0.93313,0.79991,0.93234,0.81358,0.91764,0.75005,0.90201,0.77162,0.85661,0.61605,0.59567,0.42894,1.92492,0.46303,0.00010729,0.00010729,0.00010729
46,2275.56,0.85352,0.84124,0.94786,0.79846,0.87636,0.83698,0.90712,0.73261,0.84196,0.78892,0.84297,0.60788,0.60823,0.41939,1.88497,0.46738,9.0797e-05,9.0797e-05,9.0797e-05
47,2322.94,0.79769,0.79733,0.95753,0.76778,0.9055,0.83829,0.91538,0.76233,0.84648,0.8019,0.84956,0.61211,0.5696,0.42281,1.8058,0.45893,7.43036e-05,7.43036e-05,7.43036e-05
48,2370.11,0.7906,0.81374,0.91762,0.78428,0.90418,0.84635,0.91832,0.76766,0.85947,0.81085,0.86551,0.62774,0.55634,0.42328,1.78072,0.46047,5.78102e-05,5.78102e-05,5.78102e-05
49,2417.56,0.73832,0.77353,0.91148,0.78716,0.91847,0.84201,0.92296,0.77756,0.87615,0.81182,0.86944,0.6421,0.53531,0.40985,1.77314,0.46017,4.13168e-05,4.13168e-05,4.13168e-05
50,2464.93,0.75367,0.80213,0.87249,0.77528,0.91851,0.84893,0.92205,0.77733,0.87136,0.81665,0.86721,0.6354,0.53154,0.41273,1.78642,0.4549,2.48234e-05,2.48234e-05,2.48234e-05
