epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1414.73,1.45025,0.88414,1.04056,0.81198,0.73863,0.78684,0.5041,1.05306,5.76985,0.72618,0.000551238,0.000551238,0.000551238
43,1448.35,1.46362,0.86632,1.05402,0.82154,0.75879,0.79101,0.50793,1.04738,4.02352,0.72616,0.000544365,0.000544365,0.000544365
44,1481.91,1.41197,0.83158,1.03916,0.79372,0.77942,0.78764,0.50129,1.02712,3.71056,0.71581,0.000537493,0.000537493,0.000537493
45,1515.53,1.39602,0.81193,1.01531,0.82024,0.77764,0.79642,0.52269,1.00504,3.15574,0.70984,0.000530621,0.000530621,0.000530621
46,1549.2,1.3947,0.83223,1.01825,0.80551,0.7955,0.80343,0.51535,1.01994,4.11208,0.71674,0.000523749,0.000523749,0.000523749
47,1582.48,1.40544,0.85006,1.03375,0.81231,0.7934,0.79868,0.5138,1.02068,4.15612,0.71826,0.000516877,0.000516877,0.000516877
48,1616.14,1.42411,0.85429,1.03025,0.82172,0.7788,0.79511,0.5276,0.99702,5.94361,0.7118,0.000510004,0.000510004,0.000510004
49,1649.83,1.37793,0.83518,1.0227,0.81576,0.75592,0.78918,0.53416,1.0008,4.05567,0.71069,0.000503132,0.000503132,0.000503132
50,1683.47,1.36551,0.80659,1.01223,0.8154,0.75982,0.79859,0.50988,1.02024,3.9359,0.71565,0.00049626,0.00049626,0.00049626
51,1717.06,1.35555,0.80172,1.00754,0.80873,0.78398,0.80692,0.52462,0.97511,6.05778,0.70531,0.000489387,0.000489387,0.000489387
52,1750.94,1.36249,0.76088,1.01121,0.80945,0.77505,0.80236,0.5344,0.97545,3.45829,0.70405,0.000482515,0.000482515,0.000482515
53,1784.91,1.38172,0.79304,1.0184,0.82359,0.77748,0.79838,0.52358,0.99569,3.43424,0.70913,0.000475643,0.000475643,0.000475643
54,1818.77,1.36039,0.81005,1.01632,0.81065,0.75661,0.79139,0.51775,0.99832,5.93933,0.71136,0.000468771,0.000468771,0.000468771
55,1852.63,1.38777,0.79751,1.01839,0.82197,0.79255,0.79848,0.53412,0.98279,3.39692,0.70428,0.000461898,0.000461898,0.000461898
56,1886.18,1.35249,0.78874,1.00814,0.81976,0.76818,0.79308,0.53226,0.99467,3.94439,0.7056,0.000455026,0.000455026,0.000455026
57,1919.72,1.34763,0.79512,1.00869,0.80797,0.78303,0.80225,0.52248,1.00277,5.57307,0.70719,0.000448154,0.000448154,0.000448154
58,1953.44,1.33234,0.77693,1.00443,0.78257,0.79224,0.79131,0.49128,1.07074,2.96155,0.72645,0.000441282,0.000441282,0.000441282
59,1987.26,1.33352,0.7686,1.00133,0.80704,0.7854,0.79751,0.55477,0.95888,3.77316,0.69902,0.000434409,0.000434409,0.000434409
60,2020.86,1.33517,0.75929,1.00808,0.80505,0.78286,0.80066,0.54294,0.95753,3.41371,0.69838,0.000427537,0.000427537,0.000427537
61,2054.46,1.30602,0.74902,1.00182,0.8136,0.80167,0.80482,0.51814,1.03718,4.40905,0.71384,0.000420665,0.000420665,0.000420665
62,2087.91,1.32451,0.75894,1.00004,0.79981,0.77466,0.80636,0.52621,0.99647,4.02389,0.71069,0.000413793,0.000413793,0.000413793
63,2121.58,1.29104,0.73737,0.98938,0.81729,0.76241,0.79458,0.55113,0.92471,4.49139,0.69183,0.00040692,0.00040692,0.00040692
64,2154.76,1.28811,0.74075,0.98987,0.8246,0.78825,0.80288,0.55145,0.92446,3.58655,0.69064,0.000400048,0.000400048,0.000400048
65,2188.91,1.30878,0.73491,0.99812,0.81405,0.79914,0.80636,0.54786,0.92238,3.41002,0.68956,0.000393176,0.000393176,0.000393176
66,2222.28,1.29513,0.74203,0.99177,0.82553,0.80002,0.80372,0.54329,0.94785,3.71453,0.69379,0.000386304,0.000386304,0.000386304
67,2255.83,1.29411,0.73049,0.98707,0.81883,0.77494,0.80692,0.53624,0.95776,4.92553,0.69575,0.000379431,0.000379431,0.000379431
68,2289.44,1.26828,0.71355,0.98721,0.80971,0.7821,0.79609,0.55652,0.92958,3.77115,0.69226,0.000372559,0.000372559,0.000372559
69,2322.82,1.29742,0.74373,0.99911,0.80617,0.80102,0.8057,0.55749,0.92947,4.23731,0.69226,0.000365687,0.000365687,0.000365687
70,2357.09,1.26812,0.7259,0.98297,0.81473,0.79061,0.80686,0.55271,0.92175,5.83181,0.68988,0.000358815,0.000358815,0.000358815
71,2390.77,1.25357,0.71667,0.98059,0.82252,0.7998,0.80836,0.53829,0.996,3.37578,0.70584,0.000351942,0.000351942,0.000351942
72,2424.32,1.23993,0.71077,0.97682,0.81125,0.79199,0.8016,0.56715,0.89905,3.71333,0.68524,0.00034507,0.00034507,0.00034507
73,2457.75,1.29229,0.74846,0.98888,0.80763,0.79751,0.80292,0.56016,0.92628,4.6134,0.6902,0.000338198,0.000338198,0.000338198
74,2491.73,1.2404,0.71192,0.98005,0.81627,0.79514,0.80183,0.5515,0.91764,5.51209,0.68888,0.000331326,0.000331326,0.000331326
75,2525.16,1.22708,0.71376,0.96795,0.81309,0.78786,0.80303,0.54655,0.90763,4.43879,0.68713,0.000324453,0.000324453,0.000324453
76,2558.88,1.23757,0.70304,0.98252,0.82996,0.80018,0.81047,0.55999,0.90766,3.53017,0.68811,0.000317581,0.000317581,0.000317581
77,2592.07,1.23906,0.70006,0.97872,0.81936,0.78316,0.80733,0.56035,0.89009,4.49957,0.68188,0.000310709,0.000310709,0.000310709
78,2625.84,1.24256,0.70606,0.97661,0.82006,0.78986,0.80807,0.56675,0.88022,3.25223,0.68062,0.000303837,0.000303837,0.000303837
79,2659.81,1.23048,0.69491,0.97675,0.8239,0.79719,0.81378,0.54612,0.9257,3.77094,0.68663,0.000296964,0.000296964,0.000296964
80,2693.33,1.23238,0.6942,0.97825,0.79632,0.80042,0.80694,0.57779,0.88618,4.24438,0.68159,0.000290092,0.000290092,0.000290092
81,2726.7,1.20795,0.68534,0.97236,0.81486,0.79529,0.80741,0.57098,0.87079,2.95301,0.67823,0.00028322,0.00028322,0.00028322
82,2760.57,1.21469,0.68095,0.96894,0.82233,0.79067,0.81265,0.57409,0.87033,3.22315,0.67765,0.000276348,0.000276348,0.000276348
83,2794.42,1.2233,0.70473,0.97414,0.8289,0.79975,0.81654,0.57022,0.88137,4.08642,0.67905,0.000269475,0.000269475,0.000269475
84,2828.28,1.20424,0.67598,0.96524,0.82588,0.79823,0.81253,0.57443,0.87691,3.18579,0.67758,0.000262603,0.000262603,0.000262603
85,2862.17,1.21141,0.69141,0.96696,0.82109,0.80412,0.80786,0.58305,0.8883,3.46718,0.6793,0.000255731,0.000255731,0.000255731
86,2895.71,1.23466,0.70448,0.98423,0.83388,0.79586,0.81818,0.58438,0.87272,4.65085,0.67647,0.000248859,0.000248859,0.000248859
87,2929.43,1.20955,0.69499,0.96543,0.82048,0.80639,0.82138,0.5967,0.85164,3.9305,0.6708,0.000241986,0.000241986,0.000241986
88,2962.89,1.22222,0.69043,0.96645,0.8188,0.80633,0.81214,0.58079,0.88249,3.42872,0.67779,0.000235114,0.000235114,0.000235114
89,2996.47,1.20616,0.67777,0.96701,0.82182,0.79947,0.81194,0.59011,0.87335,3.13444,0.67516,0.000228242,0.000228242,0.000228242
90,3030.09,1.18402,0.68049,0.95363,0.81616,0.80923,0.81279,0.58172,0.86665,3.1557,0.6759,0.00022137,0.00022137,0.00022137
91,3063.44,1.15559,0.67954,0.9547,0.83349,0.79016,0.8232,0.59179,0.88295,4.54162,0.67733,0.000214497,0.000214497,0.000214497
92,3096.91,1.19177,0.68353,0.95767,0.82295,0.82207,0.82163,0.5985,0.83158,4.25831,0.66631,0.000207625,0.000207625,0.000207625
93,3130.45,1.18837,0.66806,0.95544,0.81343,0.8074,0.81814,0.59012,0.85737,3.25067,0.67088,0.000200753,0.000200753,0.000200753
94,3163.89,1.23682,0.69642,0.97784,0.82456,0.81327,0.81714,0.60087,0.81997,3.25704,0.66497,0.000193881,0.000193881,0.000193881
95,3197.47,1.15477,0.64057,0.95681,0.83594,0.80096,0.82119,0.60093,0.82096,3.14527,0.66573,0.000187008,0.000187008,0.000187008
96,3231.13,1.12173,0.63491,0.9386,0.8365,0.80581,0.82256,0.59325,0.83761,3.63802,0.66669,0.000180136,0.000180136,0.000180136
97,3264.73,1.15424,0.66623,0.94997,0.83376,0.8151,0.8264,0.60782,0.82513,3.74602,0.66579,0.000173264,0.000173264,0.000173264
98,3298.38,1.18467,0.68299,0.95603,0.83099,0.81452,0.82404,0.60506,0.83811,3.78805,0.66864,0.000166392,0.000166392,0.000166392
99,3331.83,1.14141,0.63877,0.95077,0.8382,0.80999,0.82698,0.60276,0.842,2.9451,0.67027,0.00015952,0.00015952,0.00015952
100,3365.39,1.15495,0.66794,0.94875,0.83274,0.80658,0.82592,0.60844,0.83203,3.44409,0.66751,0.000152647,0.000152647,0.000152647
